URL	chrom://pc-3vxg514/ChromeleonLocal/Data/2024/2024_w23.seq/356.smp/ISQEC.xraw
300.9	3400.497559
301.7	1309.148926
302.5	2329.812988
303.2	165.262589
304.4	4711.889648
305.1	4754.488770
306.0	403.725098
307.1	17153.923828
308.4	74.585968
310.2	146.601151
311.1	0.226629
311.7	0.574578
312.4	2691.384766
313.2	3372.244385
315.1	3156.768311
315.7	0.123935
316.8	4409.921875
318.0	5108.095215
318.5	0.141872
319.1	2203.696777
319.9	0.328315
320.5	1439.807617
322.2	72767640.000000
323.3	12679247.000000
324.3	1697494.625000
325.2	186881.265625
326.4	15620.373047
327.8	1134.588013
329.0	9285.482422
329.6	1368.998657
330.2	0.084904
331.2	3652.319580
332.3	1.015202
332.9	0.240734
333.9	3745.461426
334.6	1094.874390
335.2	190.328903
335.7	338.587097
336.4	0.129764
337.3	1737.918701
337.9	5.842201
339.5	8957.463867
340.1	38073.281250
341.3	14246.195313
342.1	1744.123779
342.9	13735.883789
344.2	12431.206055
345.6	2957.052979
346.3	4438.980957
347.3	1309.751587
347.8	4243.617188
348.6	3435.322754
349.2	0.033531
349.9	323.372833
350.9	2283.428467
351.5	218.333176
352.1	3843.076904
353.1	8565.402344
354.2	57344.820313
355.3	12012.914063
356.3	4046.852539
357.9	3145.966064
359.4	22565.119141
360.3	51546.527344
361.1	17438.343750
361.8	2909.138916
363.2	5555417.500000
364.2	1246593.000000
365.2	170648.671875
366.2	22634.740234
366.8	0.428714
367.6	58.408535
368.3	0.030137
368.8	2651.810791
370.2	686.573425
370.8	225.639343
371.6	0.037959
372.5	65.677605
373.4	0.025232
374.4	429.194763
375.3	1780.427979
376.2	2955.326172
377.0	2188.773438
377.7	0.018798
378.6	3109.397949
379.3	7790.944336
380.5	2583.411621
381.3	7099.725098
382.3	2114.409912
383.7	4535.140137
385.2	86130.945313
386.2	23756.767578
386.9	6372.940918
387.4	3071.425781
388.0	158.420563
388.5	309.350281
389.2	10.519594
389.9	0.001100
390.4	5053.377930
391.0	14.739926
391.8	1583.429199
393.1	2108.689209
394.2	4027.196777
394.8	3010.412598
395.4	4223.915039
396.2	0.148278
397.2	5972.751953
398.1	5525.646973
398.9	0.766684
399.5	599.128113
400.5	6956.255859
401.4	2439.448975
402.0	5053.083496
402.9	5334.821289
403.6	6477.217773
404.3	6387.416504
405.1	3389.064209
405.9	688.610901
406.5	2524.955078
407.2	5212.360840
408.3	4582.262207
409.0	420.434174
409.5	1044.780273
410.3	5472.538574
411.2	7200.490234
412.8	788.338074
413.8	353.065887
414.5	0.211594
415.2	53.043144
415.8	0.000009
416.7	1495.174316
417.5	2192.209717
419.4	1872.314941
420.6	6917.114258
421.4	1566.772095
422.0	504.874939
423.1	297.286652
424.0	1905.612915
425.1	56961.117188
426.1	15629.033203
427.1	21877.222656
428.0	4488.794434
428.9	11828.151367
429.5	2543.950439
430.2	87739.343750
431.3	13677.875977
431.9	449.183868
432.4	2788.500732
433.1	2108.640381
434.5	3454.936035
435.1	7787.935059
435.7	1130.931274
436.6	3971.605713
437.8	6152.505859
438.6	4697.618652
439.3	2509.819336
440.3	5295.617188
441.3	2509.250488
441.8	0.488235
443.3	1218.221680
444.5	9815.519531
446.2	11358.357422
447.3	3890.306396
448.3	1105.676147
449.3	3118.261963
450.3	2567.937012
451.1	13490.359375
452.0	13608.652344
453.1	8876.984375
454.4	2172.204102
455.3	3370.194336
456.4	225.317490
457.0	250.125061
457.6	8218.855469
458.5	276.889496
459.0	1818.114136
460.5	272.308228
461.2	21013.234375
462.0	5666.291504
462.6	1727.696289
463.2	16891.275391
464.4	11210.036133
465.0	7736.576660
465.6	4779.129395
467.0	19449.804688
467.7	13706.691406
468.4	6762.634766
469.2	13822.176758
470.3	4008.023438
471.0	6837.520508
472.1	5058.217773
472.6	4497.637695
473.2	6556.344727
474.1	4004.134766
474.7	3376.563232
476.2	9331.399414
477.2	4987.557129
477.9	9203.177734
479.1	3473.321777
480.2	13833.821289
481.4	5957.329102
482.3	2094.816895
483.3	15995.775391
484.0	2429.593506
484.9	4673.403809
485.7	60.331429
486.2	1199.205078
487.0	7004.410156
487.6	4006.475586
488.3	3387.698486
488.9	823.296875
489.6	1536.508911
490.3	4192.679199
491.3	2181.047363
493.0	32236.019531
494.2	29109.720703
495.2	5242.778809
496.3	12098.104492
497.3	3342.348145
497.9	6048.423340
499.2	1695.098755
499.9	5907.728516
500.6	1094.787598
501.2	1451.613281
502.4	5044.229980
503.2	5570.925781
504.2	86289.125000
505.2	28984.453125
506.2	96291.593750
507.3	25991.240234
508.3	55724.488281
508.9	9984.407227
509.4	13135.536133
510.1	15416.004883
510.7	6045.863770
511.4	9494.536133
512.3	11547.014648
513.1	4926.445801
514.5	8550.210938
515.7	2339.718018
517.2	1064.110474
518.0	7361.643066
518.5	3490.996338
519.1	5273.275391
520.0	1704.537720
521.1	3579.859131
522.1	1214.858643
522.7	5644.053711
523.5	82401.148438
524.7	15613.117188
525.7	6226.891602
526.3	10537.775391
527.1	5437.916016
528.0	529.274536
528.7	5463.795898
529.6	3116.132324
530.5	1425.862183
531.4	2053.365967
532.1	3871.323242
533.0	3775.409424
533.6	2681.303223
534.3	21156.441406
535.3	16264.250977
536.4	3679.057373
537.3	8984.723633
538.8	5593.686523
539.6	13636.074219
540.2	1785.518799
541.5	15791.750000
542.2	7006.968750
543.0	9370.241211
543.5	1101.583740
544.6	5262.297852
